Name,Symbol,Exchange,Price USD,24h Change %,Volume,Market Cap
Bombie,___________BOMB,LiveCoinWatch,$0.00,+1.12%,"30,856,250",N/A
Spark,___SPK,LiveCoinWatch,$0.04,+0.82%,"205,851,748",N/A
KAI: Battle of Three Kingdoms,SGC,LiveCoinWatch,$0.00,+1.00%,"3,332,648",N/A
NovaTrade,NRWA,LiveCoinWatch,$3.93,+1.00%,"7,654,027",N/A
I.R.I.S by Virtuals,__IRIS,LiveCoinWatch,$0.01,+0.77%,"3,248,968",N/A
MEET48 Token,__IDOL,LiveCoinWatch,$0.01,+0.99%,"6,646,128",N/A
Defi App,____HOME,LiveCoinWatch,$0.02,+0.92%,"164,463,531",N/A
CryBaby,CRYBB,LiveCoinWatch,$0.01,+1.38%,"2,074,363",N/A
Skate,SKATE,LiveCoinWatch,$0.04,+1.08%,"23,901,386",N/A
EGL1,EGL1,LiveCoinWatch,$0.08,+1.12%,"2,724,890",N/A
BULLA,__BULLA,LiveCoinWatch,$0.06,+1.16%,"4,243,017",N/A
Ton Question,TQ,LiveCoinWatch,$0.00,+0.65%,"8,731,409",N/A
Resolv,RESOLV,LiveCoinWatch,$0.17,+0.76%,"224,050,451",N/A
YBDBD,YBDBD,LiveCoinWatch,$0.00,+0.62%,"7,959,793",N/A
Coinbase Wrapped XRP,CBXRP,LiveCoinWatch,$2.20,+1.03%,"1,515,180",N/A
Lagrange,_LA,LiveCoinWatch,$0.52,+0.92%,"27,496,362",N/A
Bondex Token,BDXN,LiveCoinWatch,$0.04,+1.30%,"18,125,728",N/A
Vaulta,__A,LiveCoinWatch,$0.51,+1.00%,"63,959,748",N/A
StablR USD,__USDR,LiveCoinWatch,$1.00,+1.00%,"2,951,712",N/A
StablR Euro,EURR,LiveCoinWatch,$1.17,+1.01%,"3,117,309",N/A
LayerEdge,EDGEN,LiveCoinWatch,$0.01,+1.01%,"5,135,790",N/A
Loud,_LOUD,LiveCoinWatch,$0.00,+0.89%,"1,996,132",N/A
Assisterr AI,ASRR,LiveCoinWatch,$0.16,+0.95%,"2,926,333",N/A
catwifmask,____MASK,LiveCoinWatch,$0.01,+1.09%,"3,041,068",N/A
Sophon,_SOPH,LiveCoinWatch,$0.04,+0.94%,"26,050,621",N/A
Puffverse Token,PFVS,LiveCoinWatch,$0.02,+1.00%,"5,713,765",N/A
USDS,_________USDS,LiveCoinWatch,$1.00,+1.01%,"2,182,299",N/A
Elderglade,ELDE,LiveCoinWatch,$0.02,+1.01%,"4,866,505",N/A
USD₮0,____USD0,LiveCoinWatch,$1.00,+1.00%,"5,329,627",N/A
